Name,Final,Started,County,AcresBurned,PercentContained,Longitude,Latitude,Type,IsActive,CalFireIncident,Location
Bullfrog Fire,False,2020-09-12T13:57:57Z,Fresno,0,0,-119.027309,37.135474,Wildfire,True,False,"Dinkey Lakes and Nelson Lake, SE of Bullfrog Lake"
Wolf Fire,False,2020-09-22T11:28:09Z,Mariposa,0,0,-119.643,37.882,Wildfire,True,False,north side of Tioga Road and White Wolf campground
Glass Fire,False,2020-09-27T03:48:00Z,"Napa, Sonoma",67484,97,-122.49745,38.56295,Wildfire,True,True,North Fork Crystal Springs Rd & Crystal Springs Rd
Bruder Fire,False,2020-10-15T05:40:14Z,San Bernardino,170,92,-117.138078,34.014728,Wildfire,True,True,"Bruder Lane and Helen Drive, South of Redlands"
Antelope Fire,True,2020-02-17T15:04:08Z,Sierra,102,100,-120.3291855,39.6923001,Wildfire,False,False,"Hwy 49 and Fillippini Road, Sierraville"
Beegum Fire,True,2020-02-23T08:35:30Z,Tehama,75,100,-122.84722222,40.33583333,Wildfire,False,True,"Off of Highway 36 West and Tedoc Rd, West of Red Bluff"
Wood Fire,True,2020-02-23T17:50:20Z,Lassen,57,100,-120.49392,40.62155,Wildfire,False,False,"Off Horselake Road and Woodranch Road, East of Susanville"
Baseball Fire,True,2020-02-25T14:17:21Z,"Glenn, Mendocino",211,100,-122.94111111,39.75638899,Wildfire,False,False,"Off Atchison Creek, East of Covelo"
Grizzly Fire,True,2020-03-02T14:08:05Z,Glenn,154,100,-122.384532,39.774968,Wildfire,False,True,"Grizzly Flat Recreation Area, west of Orland"
Carter Fire ,True,2020-04-04T20:22:08Z,Imperial,275,100,-115.5865,32.93432,Wildfire,False,False,"Off Austin Road  and Weaver Road, South of Brawley"
Red Fire ,True,2020-04-23T20:52:04Z,Tehama,26,100,-122.43905,40.09554,Wildfire,False,True,"Red Bank Road, Southwest of Red Bluff"
Byron Fire,True,2020-04-27T14:59:04Z,Contra Costa,47,100,-121.595225,37.82066,Wildfire,False,False,"Byron Highway and Bruns Ave, southeast of Byron"
Interstate 5 Fire,True,2020-05-03T15:52:04Z,Kings,2060,100,-120.106407,36.075003,Wildfire,False,False,"Interstate 5 & Avenal Cutoff, south of Fresno County line"
Hollister Fire,True,2020-05-07T08:10:19Z,Santa Barbara,156,100,-120.29379,34.47438,Wildfire,False,False,"Hollister Ranch, West of Goleta in Gaviota"
Candy Fire,True,2020-05-08T14:46:20Z,Butte,17,100,-121.47273,39.42208,Wildfire,False,False,"Candy Cane Ln and Apache Hill Rd, west of Palermo"
Gilman Fire,True,2020-05-18T13:38:14Z,Riverside,20,100,-117.024114,33.861054,Wildfire,False,True,"Gilman Springs Road and Slegers Street, Southeast of Moreno Valley"
Spanish Fire ,True,2020-05-22T15:27:09Z,Napa,20,100,-122.403634,38.697834,Wildfire,False,False,"Spanish Valley Trail and Stagecoach Canyon, Northwest of Lake Berryessa"
Range Fire,True,2020-05-27T19:33:55Z,San Luis Obispo,5000,100,-120.70524,35.34237,Wildfire,False,False,Range M22 Camp Roberts Military Reserve
Harley Fire,True,2020-05-28T17:08:59Z,Riverside,60,100,-117.34934,33.83167,Wildfire,False,True,"19000 Block of Gustin Road, East of Lake Mathews"
Horn Fire ,True,2020-06-02T17:01:52Z,Lassen,37,100,-120.288882,40.809323,Wildfire,False,False,"Horn Road and Mail Route Road, east of Ravendale in Lassen County. "
Smoketree Fire,True,2020-06-02T19:38:16Z,Riverside,129,100,-116.524014,33.782532,Wildfire,False,False,East Murray Canyon Dr and S Toledo Ave
Wildlife Fire,True,2020-06-03T18:26:25Z,Solano,300,100,-122.042199,38.232281,Wildfire,False,False,Kellogg St and Maple St
Brock Fire,True,2020-06-04T16:36:17Z,Shasta,15,100,-122.097933,40.837885,Wildfire,False,False,"Lake Shasta, West of Round Mountain"
Colleen Fire,True,2020-06-04T19:36:47Z,Santa Clara,126,100,-121.851895,37.229703,Wildfire,False,False,"Colleen Dr, South San Jose"
Karchner Fire,True,2020-06-05T09:04:00Z,Placer,39,100,-121.340239,38.98487,Wildfire,False,True,"Karchner Road and Riosa Road, East of Wheatland"
Lakeville Fire,True,2020-06-05T16:56:55Z,Sonoma,141,100,-122.549816,38.224849,Wildfire,False,True,"Lakeville Highway and Stage Gulch Road, Southeast of Petaluma"
McGary Fire ,True,2020-06-05T17:09:00Z,Solano,79,100,-122.156313,38.196893,Wildfire,False,False,"McGary Road and Highway 80, Southwest of Cordelia"
